Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-28-31.935,0.964,0.220,0.111,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.287,0.111,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-31.955,0.964,0.220,0.110,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.286,0.110,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-31.975,0.964,0.219,0.110,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.286,0.109,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-31.995,0.964,0.220,0.110,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.284,0.109,-0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.015,0.964,0.220,0.110,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.285,0.108,-0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.035,0.964,0.219,0.109,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.286,0.107,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.055,0.965,0.219,0.109,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.286,0.104,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.075,0.965,0.220,0.109,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.286,0.103,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.095,0.965,0.219,0.109,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.286,0.102,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.115,0.965,0.218,0.109,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.285,0.101,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.135,0.965,0.217,0.108,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.285,0.099,-0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.157,0.966,0.217,0.106,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.284,0.098,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.175,0.967,0.215,0.104,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.284,0.097,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.195,0.968,0.213,0.102,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.283,0.096,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.217,0.969,0.210,0.099,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.282,0.095,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.237,0.970,0.206,0.096,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.281,0.093,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.256,0.971,0.201,0.091,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.281,0.090,-0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.276,0.973,0.197,0.088,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.280,0.085,-0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.296,0.975,0.193,0.084,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.279,0.078,-0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.315,0.977,0.188,0.078,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.276,0.071,-0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.335,0.978,0.182,0.071,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.274,0.063,-0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.355,0.980,0.178,0.064,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.271,0.054,-0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.375,0.981,0.172,0.056,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.269,0.045,-0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.395,0.982,0.169,0.053,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.266,0.036,-0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.415,0.984,0.161,0.040,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.956,-0.262,0.026,-0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.435,0.985,0.156,0.032,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.956,-0.260,0.021,-0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.455,0.986,0.150,0.024,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.958,-0.254,0.008,-0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.475,0.987,0.145,0.016,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,-0.250,-0.002,-0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.495,0.988,0.139,0.008,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.246,-0.012,-0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.515,0.989,0.133,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.241,-0.022,-0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.535,0.989,0.129,-0.008,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.237,-0.032,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.555,0.990,0.126,-0.016,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.233,-0.042,-0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.577,0.990,0.122,-0.023,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.229,-0.051,-0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.597,0.990,0.118,-0.030,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.224,-0.061,-0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.616,0.990,0.114,-0.038,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.220,-0.070,-0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.635,0.991,0.110,-0.046,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.216,-0.080,-0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.655,0.991,0.105,-0.053,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.212,-0.089,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.676,0.991,0.099,-0.060,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.208,-0.098,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.696,0.991,0.096,-0.067,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.204,-0.106,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.716,0.991,0.091,-0.074,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.201,-0.114,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.736,0.991,0.085,-0.081,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.197,-0.122,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.756,0.991,0.081,-0.088,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.192,-0.130,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.776,0.990,0.077,-0.095,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.189,-0.138,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.796,0.990,0.073,-0.102,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.185,-0.146,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.816,0.989,0.068,-0.109,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.180,-0.154,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.835,0.989,0.062,-0.116,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.176,-0.162,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.855,0.989,0.056,-0.124,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,-0.172,-0.171,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.875,0.988,0.051,-0.131,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,-0.168,-0.179,-0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.895,0.987,0.045,-0.137,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.958,-0.163,-0.188,-0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.916,0.987,0.039,-0.144,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.958,-0.158,-0.196,-0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.936,0.986,0.032,-0.151,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.957,-0.152,-0.205,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.956,0.985,0.027,-0.158,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.957,-0.146,-0.213,-0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-28-32.976,0.984,0.022,-0.165,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.956,-0.142,-0.221,-0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
