Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-27-40.920,0.966,-0.068,0.040,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,-0.031,-0.028,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-40.940,0.966,-0.068,0.040,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,-0.030,-0.029,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-40.959,0.966,-0.067,0.039,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,-0.029,-0.030,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-40.981,0.966,-0.068,0.038,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,-0.029,-0.031,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-40.999,0.966,-0.068,0.038,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,-0.028,-0.031,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-41.018,0.966,-0.068,0.039,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,-0.028,-0.032,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-41.040,0.966,-0.068,0.040,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.979,-0.027,-0.033,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-41.060,0.966,-0.068,0.040,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.979,-0.026,-0.034,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-41.080,0.966,-0.068,0.041,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.979,-0.025,-0.035,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-41.100,0.966,-0.069,0.041,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.979,-0.024,-0.035,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
